playername(),search_Depth(4),weight_PawnPos(1),biaSpawnPosPieceCount(16),weightKnightsPos(1.3),weightBishopPos(0.8),weightRooksPos(1),weightQueenPos(1.1),weightCastlingBonus(0.4),score(1),average(1),isWinner(1)
AI3 PiecePos-Analyzing_4,3.92,1.02,16.26,1.33,0.78,1.00,1.11,0.20,281.514,277.2698358208952,0.0
AI3 PiecePos-Analyzing_31,3.94,1.00,15.70,1.28,0.79,1.00,1.09,0.20,272.53499999999997,277.2698358208952,0.0
AI3 PiecePos-Analyzing_16,3.97,0.98,15.65,1.30,0.79,0.98,1.12,0.20,271.874,277.2698358208952,0.0
AI3 PiecePos-Analyzing_5,4.06,1.00,15.97,1.32,0.80,1.02,1.10,0.20,277.42599999999993,277.2698358208952,1.0
AI3 PiecePos-Analyzing_26,4.01,0.99,15.95,1.28,0.81,0.99,1.12,0.20,276.844,277.2698358208952,1.0
AI3 PiecePos-Analyzing_25,4.08,0.99,15.72,1.27,0.78,1.01,1.09,0.20,273.394,277.2698358208952,0.0
AI3 PiecePos-Analyzing_24,3.99,1.02,15.68,1.33,0.81,1.01,1.08,0.20,272.515,277.2698358208952,0.0
AI3 PiecePos-Analyzing_15,4.04,0.98,16.28,1.30,0.79,1.01,1.09,0.20,282.231,277.2698358208952,0.0
AI3 PiecePos-Analyzing_13,4.10,1.00,15.73,1.30,0.78,1.00,1.07,0.20,273.651,277.2698358208952,0.0
AI3 PiecePos-Analyzing_29,4.01,0.99,15.61,1.29,0.81,1.00,1.11,0.20,271.416,277.2698358208952,1.0
AI3 PiecePos-Analyzing_22,4.07,1.02,16.18,1.31,0.80,1.02,1.10,0.20,280.8329999999999,277.2698358208952,1.0
AI3 PiecePos-Analyzing_9,3.94,1.02,15.93,1.32,0.79,0.98,1.12,0.20,276.3,277.2698358208952,0.0
AI3 PiecePos-Analyzing_2,3.92,1.01,16.15,1.33,0.80,1.00,1.07,0.20,279.71599999999995,277.2698358208952,0.0
AI3 PiecePos-Analyzing_32,3.97,1.02,15.84,1.33,0.80,1.02,1.12,0.20,275.04099999999994,277.2698358208952,0.0
AI3 PiecePos-Analyzing_20,4.04,0.98,16.08,1.30,0.79,1.01,1.10,0.20,279.0419999999999,277.2698358208952,1.0
AI3 PiecePos-Analyzing_17,3.99,1.02,16.37,1.33,0.81,1.02,1.10,0.20,283.587,277.2698358208952,0.0
AI3 PiecePos-Analyzing_21,4.09,0.98,16.20,1.29,0.79,1.02,1.10,0.20,281.15899999999993,277.2698358208952,0.0
AI3 PiecePos-Analyzing_3,4.08,0.99,15.81,1.29,0.80,0.99,1.11,0.20,274.878,277.2698358208952,0.0
AI3 PiecePos-Analyzing_1,3.95,0.98,15.61,1.31,0.82,0.99,1.11,0.20,271.18999999999994,277.2698358208952,0.0
AI3 PiecePos-Analyzing_18,3.97,1.02,15.86,1.33,0.81,1.00,1.08,0.20,275.30499999999995,277.2698358208952,0.0
AI3 PiecePos-Analyzing_11,3.98,0.98,16.12,1.29,0.78,0.98,1.11,0.20,279.40200000000004,277.2698358208952,0.0
AI3 PiecePos-Analyzing_23,3.97,0.98,16.28,1.33,0.82,0.99,1.08,0.20,281.983,277.2698358208952,0.0
AI3 PiecePos-Analyzing_14,3.96,0.99,16.22,1.29,0.81,0.99,1.13,0.20,280.988,277.2698358208952,0.0
AI3 PiecePos-Analyzing_19,3.92,0.99,16.33,1.29,0.79,0.98,1.13,0.20,282.562,277.2698358208952,0.0
AI3 PiecePos-Analyzing_12,4.09,1.00,15.92,1.29,0.82,0.99,1.12,0.20,276.71500000000003,277.2698358208952,1.0
AI3 PiecePos-Analyzing_28,3.91,0.98,15.92,1.28,0.81,1.00,1.08,0.20,275.91999999999996,277.2698358208952,0.0
AI3 PiecePos-Analyzing_30,3.95,0.99,15.80,1.28,0.81,0.98,1.12,0.20,274.1940000000001,277.2698358208952,0.0
AI3 PiecePos-Analyzing_10,4.09,0.99,15.78,1.28,0.78,0.98,1.09,0.20,274.377,277.2698358208952,1.0
AI3 PiecePos-Analyzing_6,4.09,0.99,16.16,1.32,0.81,1.00,1.10,0.20,280.564,277.2698358208952,0.5
AI3 PiecePos-Analyzing_7,3.98,0.99,15.82,1.27,0.78,1.00,1.08,0.20,274.57300000000004,277.2698358208952,0.0
AI3 PiecePos-Analyzing_27,3.96,1.01,15.98,1.33,0.81,1.02,1.10,0.20,277.217,277.2698358208952,0.0
AI3 PiecePos-Analyzing_8,4.02,0.99,15.91,1.29,0.79,0.98,1.10,0.20,276.209,277.2698358208952,0.0
