playername(),search_Depth(4),weight_PawnPos(1),biaSpawnPosPieceCount(16),weightKnightsPos(1.3),weightBishopPos(0.8),weightRooksPos(1),weightQueenPos(1.1),weightCastlingBonus(0.4),score(1),average(1),isWinner(1)
AI3 PiecePos-Analyzing_4,3.98,1.00,15.85,1.29,0.79,1.01,1.10,0.78,275.361,277.70371428571326,0.0
AI3 PiecePos-Analyzing_16,4.08,1.01,16.30,1.30,0.79,1.02,1.11,0.78,283.005,277.70371428571326,0.0
AI3 PiecePos-Analyzing_5,3.97,1.01,16.34,1.32,0.78,0.99,1.07,0.79,283.153,277.70371428571326,0.0
AI3 PiecePos-Analyzing_15,3.94,0.98,16.22,1.31,0.78,1.01,1.12,0.80,281.149,277.70371428571326,0.0
AI3 PiecePos-Analyzing_13,3.93,1.01,15.69,1.31,0.81,1.01,1.08,0.82,272.64699999999993,277.70371428571326,0.0
AI3 PiecePos-Analyzing_9,4.02,1.00,16.23,1.32,0.79,1.00,1.10,0.81,281.642,277.70371428571326,0.0
AI3 PiecePos-Analyzing_2,3.91,1.00,16.01,1.30,0.82,1.00,1.10,0.78,277.668,277.70371428571326,0.0
AI3 PiecePos-Analyzing_17,3.98,1.01,16.04,1.32,0.81,1.00,1.13,0.79,278.493,277.70371428571326,0.0
AI3 PiecePos-Analyzing_3,3.92,0.99,16.07,1.33,0.79,1.00,1.09,0.79,278.666,277.70371428571326,0.0
AI3 PiecePos-Analyzing_1,3.92,1.00,15.78,1.27,0.81,0.99,1.09,0.81,273.97200000000004,277.70371428571326,0.0
AI3 PiecePos-Analyzing_11,3.95,1.00,15.63,1.30,0.79,0.99,1.09,0.81,271.71500000000003,277.70371428571326,0.0
AI3 PiecePos-Analyzing_14,3.95,1.01,16.23,1.29,0.82,1.02,1.09,0.79,281.358,277.70371428571326,0.0
AI3 PiecePos-Analyzing_12,3.92,1.02,15.75,1.33,0.81,1.01,1.12,0.79,273.635,277.70371428571326,0.0
AI3 PiecePos-Analyzing_10,3.94,1.00,15.84,1.33,0.80,1.00,1.08,0.81,275.08099999999996,277.70371428571326,0.0
AI3 PiecePos-Analyzing_6,4.01,1.01,16.38,1.29,0.81,1.01,1.08,0.81,283.97700000000003,277.70371428571326,1.0
AI3 PiecePos-Analyzing_7,3.97,0.99,15.89,1.32,0.80,1.00,1.12,0.82,276.026,277.70371428571326,0.0
AI3 PiecePos-Analyzing_8,4.06,0.98,16.33,1.28,0.81,1.02,1.07,0.81,283.333,277.70371428571326,0.5
