playername(),search_Depth(4),weight_PawnPos(1),biaSpawnPosPieceCount(16),weightKnightsPos(1.3),weightBishopPos(0.8),weightRooksPos(1),weightQueenPos(1.1),weightCastlingBonus(0.4),score(1),average(1),isWinner(1)
AI3 PiecePos-Analyzing_4,3.95,1.02,16.15,1.33,1.95,0.98,1.11,0.40,280.87,277.45211000000035,0.0
AI3 PiecePos-Analyzing_16,4.00,1.02,15.90,1.31,1.95,1.02,1.08,0.40,277.051,277.45211000000035,1.0
AI3 PiecePos-Analyzing_5,4.03,1.00,16.30,1.33,1.98,1.01,1.09,0.40,283.60200000000003,277.45211000000035,1.0
AI3 PiecePos-Analyzing_26,3.92,1.00,15.94,1.29,2.01,1.02,1.10,0.40,277.395,277.45211000000035,0.0
AI3 PiecePos-Analyzing_25,4.09,1.00,15.81,1.29,1.97,0.99,1.10,0.39,275.92900000000003,277.45211000000035,1.0
AI3 PiecePos-Analyzing_24,4.10,1.00,16.13,1.33,1.95,1.02,1.10,0.40,281.15899999999993,277.45211000000035,1.0
AI3 PiecePos-Analyzing_15,3.99,0.98,15.91,1.32,1.96,1.00,1.08,0.39,277.128,277.45211000000035,0.0
AI3 PiecePos-Analyzing_13,4.02,0.99,15.72,1.29,1.96,1.02,1.12,0.40,274.24700000000007,277.45211000000035,1.0
AI3 PiecePos-Analyzing_29,3.94,0.99,15.77,1.30,1.93,1.02,1.10,0.39,274.68999999999994,277.45211000000035,0.0
AI3 PiecePos-Analyzing_22,3.98,1.00,15.88,1.32,1.99,0.98,1.09,0.40,276.64700000000005,277.45211000000035,0.0
AI3 PiecePos-Analyzing_9,3.97,1.00,15.88,1.28,2.02,0.99,1.09,0.39,276.58500000000004,277.45211000000035,0.0
AI3 PiecePos-Analyzing_2,3.99,1.02,16.31,1.30,1.98,1.00,1.13,0.41,283.621,277.45211000000035,0.0
AI3 PiecePos-Analyzing_20,3.91,0.99,15.64,1.33,1.99,1.00,1.08,0.40,272.539,277.45211000000035,0.0
AI3 PiecePos-Analyzing_17,4.09,0.99,15.84,1.27,1.93,0.99,1.09,0.40,276.33400000000006,277.45211000000035,1.0
AI3 PiecePos-Analyzing_21,3.99,0.98,15.96,1.33,1.97,0.99,1.09,0.40,277.95400000000006,277.45211000000035,0.0
AI3 PiecePos-Analyzing_3,4.02,0.98,15.99,1.31,2.02,1.02,1.12,0.39,278.62699999999995,277.45211000000035,1.0
AI3 PiecePos-Analyzing_1,4.01,1.01,15.65,1.30,2.00,1.01,1.12,0.41,273.146,277.45211000000035,1.0
AI3 PiecePos-Analyzing_18,3.97,1.01,16.34,1.27,2.02,1.01,1.12,0.40,283.999,277.45211000000035,0.0
AI3 PiecePos-Analyzing_11,4.08,1.00,16.15,1.31,1.99,0.98,1.09,0.40,281.354,277.45211000000035,1.0
AI3 PiecePos-Analyzing_23,4.02,1.00,16.07,1.27,2.00,1.02,1.12,0.40,279.86300000000006,277.45211000000035,1.0
AI3 PiecePos-Analyzing_14,4.07,1.02,16.24,1.30,1.99,0.99,1.10,0.41,282.78599999999994,277.45211000000035,1.0
AI3 PiecePos-Analyzing_19,3.98,1.00,15.78,1.29,2.00,0.99,1.10,0.41,275.041,277.45211000000035,0.0
AI3 PiecePos-Analyzing_12,4.08,1.01,15.61,1.31,1.95,0.98,1.12,0.41,272.729,277.45211000000035,1.0
AI3 PiecePos-Analyzing_28,4.02,1.01,15.68,1.27,2.00,0.99,1.12,0.39,273.59900000000005,277.45211000000035,1.0
AI3 PiecePos-Analyzing_30,3.93,1.02,15.66,1.27,2.00,0.98,1.12,0.41,272.9270000000001,277.45211000000035,0.0
AI3 PiecePos-Analyzing_10,3.92,0.99,16.37,1.30,2.02,1.00,1.10,0.41,284.27,277.45211000000035,0.0
AI3 PiecePos-Analyzing_6,4.05,0.98,16.28,1.32,2.00,1.02,1.07,0.41,283.33700000000005,277.45211000000035,1.0
AI3 PiecePos-Analyzing_7,3.92,1.02,15.71,1.31,1.97,1.02,1.12,0.41,273.755,277.45211000000035,0.0
AI3 PiecePos-Analyzing_27,3.99,0.98,16.37,1.30,2.03,1.00,1.11,0.39,284.55100000000004,277.45211000000035,0.0
AI3 PiecePos-Analyzing_8,3.99,1.01,16.05,1.29,2.00,0.98,1.12,0.39,279.41500000000013,277.45211000000035,0.0
