playername(),search_Depth(4),weight_PawnPos(1),biaSpawnPosPieceCount(16),weightKnightsPos(1.3),weightBishopPos(0.8),weightRooksPos(1),weightQueenPos(1.1),weightCastlingBonus(0.4),score(1),average(1),isWinner(1)
AI3 PiecePos-Analyzing_4,3.91,1.01,16.32,1.29,1.28,0.99,1.09,0.40,282.82000000000005,277.91858498896136,0.0
AI3 PiecePos-Analyzing_16,3.94,1.02,16.26,1.31,1.33,1.02,1.08,0.40,282.07500000000005,277.91858498896136,0.0
AI3 PiecePos-Analyzing_5,3.94,1.00,16.13,1.30,1.31,1.02,1.08,0.39,279.94199999999995,277.91858498896136,0.0
AI3 PiecePos-Analyzing_15,3.94,0.99,15.87,1.30,1.30,1.01,1.11,0.41,275.79499999999996,277.91858498896136,0.0
AI3 PiecePos-Analyzing_13,3.97,0.98,15.68,1.28,1.33,0.99,1.12,0.41,272.85400000000004,277.91858498896136,0.0
AI3 PiecePos-Analyzing_9,3.94,1.01,16.12,1.30,1.32,1.00,1.11,0.39,279.813,277.91858498896136,0.0
AI3 PiecePos-Analyzing_2,3.94,0.98,15.70,1.28,1.32,0.98,1.13,0.39,273.039,277.91858498896136,1.0
AI3 PiecePos-Analyzing_20,3.97,0.99,16.24,1.30,1.31,1.00,1.11,0.39,281.825,277.91858498896136,0.0
AI3 PiecePos-Analyzing_17,3.97,0.99,16.26,1.30,1.34,1.00,1.12,0.39,282.18000000000006,277.91858498896136,0.0
AI3 PiecePos-Analyzing_21,3.99,1.00,15.74,1.31,1.30,1.00,1.09,0.40,273.90200000000004,277.91858498896136,0.0
AI3 PiecePos-Analyzing_3,3.91,1.01,16.36,1.33,1.30,0.98,1.09,0.41,283.522,277.91858498896136,0.0
AI3 PiecePos-Analyzing_1,3.96,1.01,16.07,1.31,1.32,1.00,1.08,0.40,279.077,277.91858498896136,0.0
AI3 PiecePos-Analyzing_18,3.94,0.98,16.05,1.28,1.34,1.01,1.08,0.39,278.63,277.91858498896136,0.0
AI3 PiecePos-Analyzing_11,3.90,0.98,15.60,1.30,1.33,0.99,1.08,0.41,271.276,277.91858498896136,0.0
AI3 PiecePos-Analyzing_14,3.96,0.98,16.17,1.31,1.28,0.98,1.12,0.39,280.63500000000005,277.91858498896136,0.0
AI3 PiecePos-Analyzing_19,3.93,0.98,15.89,1.30,1.33,1.01,1.10,0.40,276.074,277.91858498896136,0.0
AI3 PiecePos-Analyzing_12,3.99,1.02,16.28,1.31,1.31,1.02,1.09,0.39,282.586,277.91858498896136,0.0
AI3 PiecePos-Analyzing_10,3.94,1.01,16.08,1.33,1.32,0.99,1.11,0.40,279.20599999999996,277.91858498896136,0.0
AI3 PiecePos-Analyzing_6,3.96,1.01,15.64,1.33,1.30,1.00,1.07,0.41,272.20000000000005,277.91858498896136,0.0
AI3 PiecePos-Analyzing_7,3.97,1.02,15.81,1.33,1.34,1.02,1.09,0.40,275.04,277.91858498896136,0.0
AI3 PiecePos-Analyzing_8,3.90,1.01,16.39,1.32,1.28,1.02,1.12,0.39,283.99800000000005,277.91858498896136,0.0
