playername(),search_Depth(4),weight_PawnPos(1),biaSpawnPosPieceCount(16),weightKnightsPos(1.3),weightBishopPos(0.8),weightRooksPos(1),weightQueenPos(1.1),weightCastlingBonus(0.4),score(1),average(1),isWinner(1)
AI3 PiecePos-Analyzing_4,3.98,1.00,15.76,1.33,2.01,1.00,1.09,0.41,274.78,277.51451485148533,0.0
AI3 PiecePos-Analyzing_16,3.98,0.98,15.90,1.31,2.01,0.98,1.11,0.41,276.976,277.51451485148533,0.0
AI3 PiecePos-Analyzing_5,3.99,0.98,15.71,1.33,1.99,1.00,1.11,0.40,274.002,277.51451485148533,0.0
AI3 PiecePos-Analyzing_15,3.97,0.99,15.82,1.28,1.99,1.00,1.12,0.41,275.642,277.51451485148533,0.0
AI3 PiecePos-Analyzing_13,3.94,1.01,16.21,1.29,1.96,0.98,1.10,0.40,281.725,277.51451485148533,0.0
AI3 PiecePos-Analyzing_9,3.91,1.01,16.31,1.32,1.96,0.98,1.12,0.40,283.266,277.51451485148533,0.0
AI3 PiecePos-Analyzing_2,4.03,1.00,16.15,1.31,2.01,1.00,1.09,0.40,281.19,277.51451485148533,0.0
AI3 PiecePos-Analyzing_20,3.99,0.98,15.82,1.28,2.00,1.00,1.12,0.40,275.71600000000007,277.51451485148533,0.0
AI3 PiecePos-Analyzing_17,3.91,0.98,15.86,1.30,1.97,0.99,1.08,0.40,275.98400000000004,277.51451485148533,0.0
AI3 PiecePos-Analyzing_3,3.92,0.99,15.70,1.29,1.96,0.99,1.09,0.41,273.468,277.51451485148533,0.0
AI3 PiecePos-Analyzing_1,4.08,1.00,15.90,1.31,1.95,1.01,1.08,0.40,277.341,277.51451485148533,0.0
AI3 PiecePos-Analyzing_18,3.90,1.02,15.97,1.31,1.96,1.02,1.10,0.40,277.80099999999993,277.51451485148533,0.0
AI3 PiecePos-Analyzing_11,3.97,0.98,16.36,1.31,1.99,1.02,1.09,0.41,284.29799999999994,277.51451485148533,0.0
AI3 PiecePos-Analyzing_14,3.93,0.99,15.91,1.30,2.03,1.02,1.09,0.39,276.959,277.51451485148533,0.0
AI3 PiecePos-Analyzing_19,3.99,1.02,15.76,1.28,1.94,1.01,1.12,0.40,274.75800000000004,277.51451485148533,0.0
AI3 PiecePos-Analyzing_12,3.91,1.01,16.34,1.28,1.99,1.02,1.11,0.40,283.74699999999996,277.51451485148533,0.0
AI3 PiecePos-Analyzing_10,4.01,1.02,15.85,1.30,1.99,0.98,1.11,0.41,276.30699999999996,277.51451485148533,0.0
AI3 PiecePos-Analyzing_6,4.03,0.98,16.06,1.27,1.96,1.02,1.08,0.39,279.643,277.51451485148533,0.0
AI3 PiecePos-Analyzing_7,3.92,0.98,15.63,1.32,1.95,1.02,1.09,0.41,272.399,277.51451485148533,0.0
AI3 PiecePos-Analyzing_8,3.96,0.98,16.14,1.29,1.97,1.01,1.08,0.40,280.67100000000005,277.51451485148533,0.0
