playername(),search_Depth(4),weight_PawnPos(1),biaSpawnPosPieceCount(16),weightKnightsPos(1.3),weightBishopPos(0.8),weightRooksPos(1),weightQueenPos(1.1),weightCastlingBonus(0.4),score(1),average(1),isWinner(1)
AI3 PiecePos-Analyzing_4,4.05,0.98,15.99,1.33,0.88,1.01,1.08,0.39,277.80699999999996,277.5530149253726,1.0
AI3 PiecePos-Analyzing_16,4.00,1.00,15.78,1.31,0.89,1.02,1.12,0.40,274.307,277.5530149253726,1.0
AI3 PiecePos-Analyzing_5,4.06,1.01,16.27,1.28,0.85,1.02,1.10,0.39,282.29999999999995,277.5530149253726,0.5
AI3 PiecePos-Analyzing_15,3.96,0.99,15.81,1.30,0.86,0.99,1.11,0.40,274.53900000000004,277.5530149253726,0.0
AI3 PiecePos-Analyzing_13,4.04,1.01,16.14,1.31,0.85,0.99,1.10,0.40,280.153,277.5530149253726,0.0
AI3 PiecePos-Analyzing_9,4.05,1.00,16.14,1.31,0.85,0.99,1.09,0.39,280.168,277.5530149253726,1.0
AI3 PiecePos-Analyzing_2,4.07,1.01,16.09,1.30,0.87,1.02,1.11,0.41,279.521,277.5530149253726,0.0
AI3 PiecePos-Analyzing_3,3.92,1.02,16.06,1.29,0.86,1.00,1.11,0.39,278.402,277.5530149253726,0.0
AI3 PiecePos-Analyzing_1,4.03,0.98,16.01,1.28,0.88,0.99,1.08,0.39,277.96200000000005,277.5530149253726,1.0
AI3 PiecePos-Analyzing_11,3.95,1.00,15.67,1.28,0.85,1.00,1.12,0.40,272.25600000000003,277.5530149253726,0.0
AI3 PiecePos-Analyzing_14,4.02,1.02,15.89,1.32,0.87,1.01,1.11,0.41,276.14700000000005,277.5530149253726,0.0
AI3 PiecePos-Analyzing_12,3.95,1.02,16.23,1.31,0.86,1.01,1.10,0.41,281.2749999999999,277.5530149253726,0.0
AI3 PiecePos-Analyzing_10,3.91,0.98,15.65,1.31,0.89,1.02,1.07,0.41,271.79599999999994,277.5530149253726,0.0
AI3 PiecePos-Analyzing_6,3.94,1.01,16.26,1.32,0.86,1.01,1.09,0.40,281.70300000000003,277.5530149253726,0.0
AI3 PiecePos-Analyzing_7,3.99,1.01,15.79,1.28,0.86,1.02,1.08,0.41,274.33399999999995,277.5530149253726,0.0
AI3 PiecePos-Analyzing_8,3.91,1.01,15.96,1.32,0.85,0.98,1.11,0.41,276.771,277.5530149253726,0.0
