playername(),search_Depth(4),weight_PawnPos(1),biaSpawnPosPieceCount(16),weightKnightsPos(1.3),weightBishopPos(0.8),weightRooksPos(1),weightQueenPos(1.1),weightCastlingBonus(0.4),score(1),average(1),isWinner(1)
AI3 PiecePos-Analyzing_4,3.92,0.99,15.65,1.29,0.81,1.02,1.10,0.40,271.785,277.4815841584162,0.0
AI3 PiecePos-Analyzing_31,3.92,1.00,15.68,1.30,0.81,1.00,1.09,0.39,272.25300000000004,277.4815841584162,0.0
AI3 PiecePos-Analyzing_16,3.93,1.00,15.92,1.31,0.79,1.02,1.13,0.39,276.19399999999996,277.4815841584162,0.0
AI3 PiecePos-Analyzing_5,3.93,1.01,15.77,1.28,0.80,0.98,1.12,0.41,273.73,277.4815841584162,0.0
AI3 PiecePos-Analyzing_26,3.98,0.99,15.63,1.32,0.81,1.01,1.10,0.39,271.73,277.4815841584162,0.0
AI3 PiecePos-Analyzing_25,3.91,1.02,15.63,1.29,0.78,1.01,1.12,0.40,271.4430000000001,277.4815841584162,0.0
AI3 PiecePos-Analyzing_24,4.05,1.00,15.68,1.27,0.78,1.01,1.09,0.40,272.72400000000005,277.4815841584162,0.5
AI3 PiecePos-Analyzing_15,3.94,0.98,16.38,1.30,0.80,0.98,1.12,0.40,283.52200000000005,277.4815841584162,0.0
AI3 PiecePos-Analyzing_13,4.03,1.02,15.82,1.27,0.82,1.02,1.11,0.39,274.964,277.4815841584162,0.0
AI3 PiecePos-Analyzing_29,3.92,1.01,16.18,1.33,0.80,0.98,1.12,0.41,280.315,277.4815841584162,0.0
AI3 PiecePos-Analyzing_22,4.06,0.99,15.81,1.32,0.81,1.00,1.13,0.39,274.95300000000003,277.4815841584162,1.0
AI3 PiecePos-Analyzing_9,4.03,1.00,16.08,1.27,0.79,1.02,1.10,0.40,279.073,277.4815841584162,0.5
AI3 PiecePos-Analyzing_2,3.95,0.99,15.79,1.32,0.80,1.00,1.11,0.39,274.163,277.4815841584162,0.0
AI3 PiecePos-Analyzing_20,3.90,0.99,16.11,1.27,0.81,0.98,1.09,0.41,278.992,277.4815841584162,0.0
AI3 PiecePos-Analyzing_17,3.93,1.00,15.85,1.30,0.80,1.00,1.07,0.40,274.987,277.4815841584162,0.0
AI3 PiecePos-Analyzing_21,3.92,0.99,16.35,1.29,0.80,1.02,1.12,0.40,282.9990000000001,277.4815841584162,0.0
AI3 PiecePos-Analyzing_3,4.02,1.02,16.30,1.29,0.82,1.02,1.13,0.41,282.66,277.4815841584162,0.5
AI3 PiecePos-Analyzing_1,3.92,1.01,16.38,1.27,0.82,1.00,1.08,0.41,283.429,277.4815841584162,0.0
AI3 PiecePos-Analyzing_18,4.05,0.98,15.84,1.32,0.81,0.98,1.09,0.40,275.3230000000001,277.4815841584162,1.0
AI3 PiecePos-Analyzing_11,4.00,1.01,15.93,1.29,0.81,1.01,1.07,0.39,276.55800000000005,277.4815841584162,0.5
AI3 PiecePos-Analyzing_23,4.08,1.01,15.69,1.31,0.81,1.01,1.11,0.40,273.112,277.4815841584162,0.0
AI3 PiecePos-Analyzing_14,4.01,0.98,15.75,1.32,0.81,1.01,1.10,0.39,273.76,277.4815841584162,1.0
AI3 PiecePos-Analyzing_19,3.93,1.01,16.21,1.33,0.80,0.99,1.11,0.39,280.826,277.4815841584162,0.0
AI3 PiecePos-Analyzing_12,4.02,1.00,15.64,1.28,0.82,1.02,1.10,0.41,272.03399999999993,277.4815841584162,0.0
AI3 PiecePos-Analyzing_28,4.03,1.01,16.34,1.31,0.81,0.99,1.09,0.40,283.27000000000004,277.4815841584162,0.5
AI3 PiecePos-Analyzing_30,3.93,0.98,16.19,1.29,0.81,0.98,1.10,0.40,280.4150000000001,277.4815841584162,0.0
AI3 PiecePos-Analyzing_10,4.01,1.02,16.21,1.27,0.80,0.99,1.10,0.40,281.071,277.4815841584162,1.0
AI3 PiecePos-Analyzing_6,3.98,0.98,15.98,1.32,0.81,0.99,1.09,0.41,277.297,277.4815841584162,0.0
AI3 PiecePos-Analyzing_7,3.92,0.99,16.05,1.29,0.81,1.00,1.08,0.41,278.14700000000005,277.4815841584162,0.0
AI3 PiecePos-Analyzing_27,4.05,1.02,16.35,1.28,0.81,1.02,1.09,0.41,283.51500000000004,277.4815841584162,1.0
AI3 PiecePos-Analyzing_8,4.00,1.00,15.76,1.27,0.79,1.01,1.10,0.39,273.81899999999996,277.4815841584162,1.0
